dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Reportons cette prérogative jusqu'à ce que je prenne conseil auprès de mes sujets.
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_4|Veuillez poursuivre, {s65}...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_rejected|Non, je ne salirai pas ma réputation avec ce plan déshonorant.
dlga_lord_tell_mission_incriminate_commander_4:lord_tell_mission_incriminate_commander_5|C'est là où vous entrez en jeu. Vous apporterez la lettre à {s14}, vous la remettrez ensuite à l'un de vos soldats et vous lui ordonnerez de l'apporter à {s15}. Un de mes espions aura informé la garnison de la ville pour que votre homme soit arrêté en chemin. Les gardes trouveront ensuite la lettre et l'apporteront à {s13}. Ils tortureront votre homme, bien sûr, pour tenter de découvrir la vérité, mais tout ce qu'il saura c'est que vous lui avez ordonné d'apporter la lettre à {s15} dans la plus grande discrétion. {s13} sait que vous êtes sous mes ordres et l'idiot croira certainement toute cette mascarade.
dlga_lord_tell_mission_incriminate_commander_5:lord_tell_mission_incriminate_commander_7|Est-ce tout ?
dlga_lord_tell_mission_incriminate_commander_7:lord_tell_mission_incriminate_commander_8|Il y a une dernière chose, votre messager doit être une personne digne de confiance. Si vous envoyez un vulgaire paysan remettre la lettre, {s13} soupçonnera un complot. Il a peut-être l'intelligence d'un escargot mais même un escargot peut voir l'évidence. Donnez la lettre à une personne gradée. L'un de vos {s9}, peut-être.
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_9|Quoi ? Je ne peux pas envoyer l'un de mes fidèles {s9} à une mort certaine ! 
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_fin|Alors ça sera un {s8}. 
dlga_lord_tell_mission_incriminate_commander_9:lord_tell_mission_incriminate_commander_10|Allons, {playername}. Il y a un temps pour la sensibilité mais ce n'est pas maintenant. Croyez-moi, vous serez généreusement dédommagé et à quoi sert un soldat si ce n'est à mourir lorsqu'on lui en donne l'ordre ? 
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_fin|Un {s8} je vous dis.
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_rejected|Non, je ne sacrifierai pas l'un de mes meilleurs hommes.
dlga_lord_tell_mission_incriminate_commander_fin:lord_pretalk|Vous ne vous imaginez pas à quel point cela me fait plaisir, {playername}. Vous éliminez l'un des plus gros obstacles me barrant la route. Voici la lettre, ainsi que 300 écus pour couvrir vos dépenses. Souvenez-vous, il y en aura plus si vous réussissez. Beaucoup, beaucoup plus...
dlga_lord_tell_mission:lord_mission_told.2|Mes soldats ont été capturés au cours de la dernière escarmouche avec l'ennemi. Heureusement, nous avons un accord mutuel pour l'échange de prisonniers. Ils relâcheront mes hommes, mais ils voudront le même nombre de prisonniers de rang équivalent en échange. Mais je n'ai aucun prisonnier pour le moment. J'ai donc besoin d'un {homme/guerrier} compétent pour me trouver {reg1} {s3} prisonniers pour l'échange.  
dlga_lord_tell_mission:lord_pretalk|Non {playername}. Je n'ai pas besoin de votre aide pour l'instant.
dlga_lord_mission_told:lord_mission_accepted|Vous pouvez compter sur moi.
dlga_lord_mission_told:lord_mission_rejected|Je crains de ne pouvoir accepter une telle mission pour l'instant.
dlga_lord_mission_accepted:close_window|Excellent, {playername}, excellent. J'ai toute confiance en vous. 
dlga_lord_mission_rejected:close_window|Ah c'est comme ça ? Je suppose que vous n'êtes simplement pas à la hauteur. Je vais devoir chercher une personne plus courageuse. 
dlga_lord_talk:lord_leave_prison|Je dois partir à présent.
dlga_lord_talk:lord_leave|La discussion est close, à présent je pars.
dlga_lord_talk:lord_leave.1|Je dois prendre congé.
dlga_lord_leave:lord_leave_give_quest|Avant que vous ne partiez, {playername}, j'ai quelque chose à vous demander... Nous sommes peut-être des ennemis dans cette guerre, mais je vous prie de croire, autant que moi, que nous pouvons toujours rester courtois l'un envers l'autre. Ainsi j'avais espéré que vous seriez assez aimable pour m'aider dans une affaire qui me tient à coeur.  
dlga_lord_leave_give_quest:enemy_lord_tell_mission|Je vous écoute.
dlga_enemy_lord_tell_mission:lord_mission_told|J'ai un ami ici, un vieux guerrier, qui est très malade. La gangrène a contaminé une vieille blessure de guerre et s'il ne voit pas rapidement un chirurgien, il va certainement mourir. Cet homme compte beaucoup pour moi, {playername}, mais il est également têtu comme une mule et refuse que quelqu'un regarde sa blessure car il ne fait pas confiance aux médecins d'ici. J'ai entendu dire que vous avez un chirurgien compétent avec vous. Si vous permettez à votre compagnon de venir ici regarder la plaie, {reg3?elle:il} pourra peut-être le convaincre de donner son accord pour subir une opération. Je vous en prie, je vous en serai profondément reconnaissant si vous accédiez à ma requête.
dlga_lord_leave_prison:close_window|Nous nous reverrons.
dlga_lord_leave:close_window|Au revoir madame, je resterai votre plus fervent admirateur.
dlga_lord_leave:close_window.1|Sûrement {playername}, au revoir.
dlga_lord_leave:close_window.2|Faites bon voyage, {playername}.
dlga_lord_leave:close_window.3|Bien, alors adieu.
dlga_lord_leave:close_window.4|Nous nous reverrons.
dlga_member_chat:lady_journey_1|Appréciez-vous le voyage, {s65} ?
dlga_lady_journey_1:close_window|Oui plutôt bien, {playername}, merci de vous en inquiéter.
dlga_start:spouse_talk|Oui, cher époux ?
dlga_spouse_talk:minister_issues|Puisque vous êtes mon ministre, j'aimerais vous parler de certaines affaires d'état.
dlga_spouse_talk:spouse_cancel_political_quest|Abandonnons notre plan pour {s10}.
dlga_spouse_cancel_political_quest:spouse_cancel_political_quest_confirm|Êtes-vous sûr de vouloir abandonner cette idée ?
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk|Oui j'en suis sûr, abandonnons cette idée.
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk.1|Non, pas maintenant.
dlga_spouse_talk:combined_political_quests|Réfléchissons à un moyen d'asseoir notre position.
dlga_spouse_talk:spouse_organize_feast|Je me disais qu'on pourrait peut-être organiser un banquet.
dlga_spouse_talk:spouse_household_possessions|Dressons l'inventaire de tout ce que nous possédons.
dlga_spouse_household_possessions:spouse_pretalk|En tout cas c'est le contenu de notre garde-manger.
dlga_spouse_talk:close_window|Nous parlerons plus tard, {chère épouse/cher époux}.
dlga_wedding_ceremony_bride_vow:wedding_ceremony_player_vow|Mon mari, je m'engage à être votre femme dévouée, pour les bons et mauvais moments. Que le ciel nous sourit et nous comble avec des enfants, un cheptel et des terres.
dlga_wedding_ceremony_player_vow:wedding_ceremony_vows_complete|De même pour moi, soyons mari et femme.
dlga_wedding_ceremony_player_vow:close_window|Attendez, une seconde, je ne pense pas que cela soit encore le moment.
dlga_wedding_ceremony_vows_complete:close_window|Je vous déclare, vous et {s3}, mari et femme. Rejoignez vos quartiers et nous veillerons à ce que votre épouse vous rejoigne à {s11}.
dlga_spouse_pretalk:spouse_talk|Autre chose, {cher époux/chère épouse} ?
dlga_spouse_organize_feast:spouse_pretalk|Quelle excellente idée, {cher époux/chère épouse} ! Cependant, attendons que la fête actuelle se termine avant d'en organiser une autre.
dlga_spouse_organize_feast:spouse_pretalk.1|Quelle excellente idée, {cher époux/chère épouse} ! Cependant, nous devons d'abord installer une cour avant d'organiser une fête.
dlga_spouse_organize_feast:spouse_pretalk.2|Quelle excellente idée, {cher époux/chère épouse} ! Cependant, comme notre duché vient de terminer une fête, il serait judicieux d'attendre un peu pour en organiser une autre, disons dans {reg3} jours.
dlga_spouse_organize_feast:spouse_evaluate_larder_for_feast|Quelle excellente idée, {cher époux/chère épouse} ! Cependant pour ne pas offenser nos invités, nous devons veiller à leur offrir un repas suffisamment copieux et varié et ce pour les seigneurs, leurs familles et leurs suites. Au total cela devrait faire quelques centaines de bouches à nourrir pendant plusieurs jours. Dressons l'inventaire de tout ce que nous possédons.
dlga_spouse_evaluate_larder_for_feast:spouse_feast_confirm|{s9}
dlga_spouse_feast_confirm:spouse_feast_added_items|Permettez-moi d'ajouter certaines choses à nos réserves.
dlga_spouse_feast_added_items:spouse_evaluate_larder_for_feast|Très bien, voyons voir ce qu'il y a là...
dlga_spouse_feast_confirm:spouse_feast_confirm_yes|Envoyons les invitations.
dlga_spouse_feast_confirm:spouse_pretalk|Alors attendons.
dlga_spouse_feast_confirm_yes:spouse_pretalk|Eh bien, je vais faire passer le mot que nous organisons un banquet dès que les conditions le permettront. Vous devriez peut-être continuer de provisionner notre garde-manger pour que nous honorions notre réputation d'hospitalité.
dlga_spouse_feast_confirm_yes:spouse_pretalk.1|Alors soit, que le banquet soit immédiatement organisé dans notre demeure, {reg4?ici :}à {s9}. Vous devez continuer à approvisionner notre garde-manger, il en va de notre réputation d'hospitalité. Ainsi vous pourrez annoncer la fête à n'importe quel moment, oralement et par missives pour que tous les vassaux soient prévenus.
dlga_start:close_window.15|Comme c'est merveilleux, dans peu de temps nous serons mariés ! Cependant je tiens à souligner que pour les quelques jours qui restent, il est de coutume de ne pas trop parler ensemble.
dlga_start:close_window.16|{playername}, vous n'aurez pas le temps de voir nos coutumes de mariage, mais j'avais espéré que quelqu'un vous en parle. Allez d'abord voir ma {s11}, {s4}.
dlga_start:close_window.17|Je ne sais pas où trouver mon {s11} {s10}, qui par tradition doit présider à notre mariage. Peut-être devrions-nous attendre jusqu'à ce qu'on le trouve...
dlga_start:close_window.18|L'honorable {s12} a accepté de nous permettre de retourner chez nous dans nos familles. Nous pouvons partir tout de suite.
dlga_start:kingdom_lady_captive|Ma solitude est immense ! Ma famille me manque tellement !
dlga_start:kingdom_lady_captive.1|Vous êtes une canaille, {messire/madame}, de retenir de la sorte une dame.
dlga_start:kingdom_lady_captive.2|C'est étrange. Vous avez parfois fait preuve de gentillesse envers moi, mais pourtant, vous continuez de me retenir ici contre mon gré.
dlga_start:kingdom_lady_captive.3|Pourquoi ma famille n'a-t-elle pas payé ma rançon ? Certes, vous me retenez ici, mais il semble que vous vous souciez plus de moi que les miens !
dlga_lady_stranded_next:close_window|Merci {messire/madame}, les vagues de la guerre m'ont fait échouer ici dans cette forteresse, mais maintenant je vais pouvoir partir. 
dlga_start:lady_talk_refugee|{playername}, je suppose qu'en tant que personne d'honneur, vous accorderez aux femmes bien nées comme nous le droit de rejoindre leurs familles, sans demander de rançon.
dlga_start:close_window.19|Nous partons tout de suite{s5}. Il est réconfortant de savoir qu'il existe encore dans ce monde un certain sens de l'honneur.
dlga_lady_talk_refugee:close_window|Bien sûr madame.
dlga_lady_talk_refugee:lady_captive_talk|Vous faites erreur, madame !
dlga_lady_captive_talk:lady_captive_confirm|Quelle est cette infamie ?
dlga_lady_captive_confirm:close_window|Excusez-moi, vous avez dû mal me comprendre, bien sûr que vous pouvez partir.
dlga_lady_captive_confirm:close_window.1|Contactez votre famille pour la rançon, madame.
dlga_kingdom_lady_captive:close_window|Eh bien, écrivez à votre famille et demandez-lui de se dépêcher pour la rançon !
dlga_kingdom_lady_captive:close_window.1|J'ai changé d'avis, vous pouvez partir.
dlga_start:close_window.20|Bien {playername}, vous vous êtes battu en duel avec {s10} et vous l'avez perdu. Selon nos coutumes et traditions, je ne vous recevrez plus, {playername}.
dlga_start:lady_duel_lost|Oh, {playername} ! J'ai entendu dire que vous aviez affronté {s10} en duel. J'aurais préféré que cela ne soit jamais arrivé car, comme le veulent nos us et coutumes, en cas de défaite, vous ne pouvez plus me courtiser. Adieu, {playername}.
dlga_lady_duel_lost:close_window|Très bien, nous devons nous plier à nos us et coutumes. Adieu madame.
dlga_lady_duel_lost:lady_duel_lost_flaunt_conventions|Longue vie à nos us et coutumes !
dlga_lady_duel_lost_flaunt_conventions:close_window|Oh, {playername} ! Quoi que les gens en disent, cela me briserait le coeur de ne plus vous revoir. Aussi, nous allons passer outre cette stupide et cruelle tradition.
dlga_lady_duel_lost_flaunt_conventions:close_window.1|Non {playername}, je ne peux pas me permettre de ternir mon nom et il en va de même pour vous.
dlga_start:lady_start|Oh {playername}, j'ai entendu dire que vous aviez remporté un duel contre {s10}. Je vous suis reconnaissante de m'avoir délivrée des attentions de cet homme !
dlga_start:lady_start.1|Bien {playername}, vous avez remporté votre duel contre {s10}. Pour être honnête, je ne le portais pas dans mon coeur.
dlga_lady_duel_rep_1:lady_start|Bien {playername}, vous avez remporté votre duel contre {s10}. Quelle bêtise que des hommes soient obligés de se battre pour moi ! Mais cela doit être quelque peu romantique, j'imagine.
dlga_lady_duel_rep_2:lady_start|Bien {playername}, vous avez remporté votre duel contre {s10}. L'honneur exige maintenant que lui et moi ne puissons plus nous rencontrer. Je l'adorais vous savez, vous ne m'avez pas rendu service en le combattant, messire.
dlga_start:lady_qst_duel_for_lady_succeeded_1|Ah {playername}, quelle joie de vous revoir ! J'ai entendu dire que vous aviez donné à ce vil {s13} la correction qu'il méritait. J'espère qu'il n'oubliera jamais son humiliation. J'ai une récompense pour vous, mais je crains que cela ne soit peu en comparaison du service que vous m'avez rendu.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2|Oh, cela devrait suffire. 
